Txhash,From,Method,Value_IN(ETH),origin_chain,destination_chain,round_id,recipient_id,amount,token,donor,origin
0xf7cb5d4bf0cc9bdcdfc2119ea44d5c22c27a788ef78737ff5a3765426e687709,0x96babe8595ed944b01499200b7cfd230f8db3558,Allocate,9.39445e-05,42161,42161,25,0x8c8c259579e596b7BdB2BbC3E17D1b8d71E7a56d,93944504120813.0,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,0x96babe8595ed944b01499200b7cfd230f8db3558,0x96babe8595ed944b01499200b7cfd230f8db3558
0xfe60d4af445afe6a05c56f760cb9d8acdc852cb439c0b7519877f10f32701281,0xf106e0311b00e2b5e2a27dfef45a44add2df4b5b,Allocate,0.000307831,42161,42161,25,0x8c8c259579e596b7BdB2BbC3E17D1b8d71E7a56d,307830627976363.0,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,0xf106e0311b00e2b5e2a27dfef45a44add2df4b5b,0xf106e0311b00e2b5e2a27dfef45a44add2df4b5b
0x78f525a45ac22fe8df1c69b94702827a4ba4857d3f32e7a3dfc8a60dc9ac4605,0x9a03f172d94ec286a0d72ee8f389ddfd105f0a36,Allocate,0.000308504,42161,42161,25,0x8c8c259579e596b7BdB2BbC3E17D1b8d71E7a56d,308504490705757.0,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,0x9a03f172d94ec286a0d72ee8f389ddfd105f0a36,0x9a03f172d94ec286a0d72ee8f389ddfd105f0a36
0xadaaf2379b4d5d2021e53caeea2ca2c2ac2bb480992c39e6cb2855c1e37408e8,0x87b53f4d4cb88a808504f2d4c13b93bfaf7510b6,Allocate,0.001544402,42161,42161,25,0x8c8c259579e596b7BdB2BbC3E17D1b8d71E7a56d,1544402108376535.0,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,0x87b53f4d4cb88a808504f2d4c13b93bfaf7510b6,0x87b53f4d4cb88a808504f2d4c13b93bfaf7510b6
0x0faa98cb9f8c63a68bac919b0811e922db84eb639bcbc16cb87fc4d3eedd1960,0x9a03f172d94ec286a0d72ee8f389ddfd105f0a36,Allocate,3.09462e-05,42161,42161,25,0x8c8c259579e596b7BdB2BbC3E17D1b8d71E7a56d,30946236609703.0,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,0x9a03f172d94ec286a0d72ee8f389ddfd105f0a36,0x9a03f172d94ec286a0d72ee8f389ddfd105f0a36
0xbafd17fcc603b0884bf4c661f449a47528a226bf0c30c03673f35f4457e6481d,0x5abca791c22e7f99237fcc04639e094ffa0ccce9,Allocate,0.000310964,42161,42161,26,0x046cce3BEBE4B7A37918dfe46569d423143F2456,310964426592634.0,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,0x5abca791c22e7f99237fcc04639e094ffa0ccce9,0x5abca791c22e7f99237fcc04639e094ffa0ccce9
0x94cc7dcc4cfcbeb98fa1b348b11d4800bde14ecaefe916da220ec75efb6c9888,0xa32aecda752cf4ef89956e83d60c04835d4fa867,Allocate,0.000306012,42161,42161,25,0x8c8c259579e596b7BdB2BbC3E17D1b8d71E7a56d,306012127958203.0,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,0xa32aecda752cf4ef89956e83d60c04835d4fa867,0xa32aecda752cf4ef89956e83d60c04835d4fa867
0xd693e0ac6625da293ce8cc86494e3297bc25a2f7e64cf1d281f743340cfa7f95,0x5abca791c22e7f99237fcc04639e094ffa0ccce9,Allocate,3.1325499999999998e-06,42161,42161,25,0x745B3AE99Db905BA5a9A05E7Bc8968B719F5eA7F,3132551953696.0,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,0x5abca791c22e7f99237fcc04639e094ffa0ccce9,0x5abca791c22e7f99237fcc04639e094ffa0ccce9
0xe6bd887eb7fac311bafa0debe4b642cc5597526ce3d59fc15d6b72041bc9e755,0x037eb04ad9ddff984f44ce5941d14b8ea3781459,Allocate,3.1517800000000005e-05,42161,42161,23,0x2cC2c35EaD620614616d62667d366391880EEeB1,31517757619334.0,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,0x037eb04ad9ddff984f44ce5941d14b8ea3781459,0x037eb04ad9ddff984f44ce5941d14b8ea3781459
0xa86ecbd5bdcb855d1e4515d352c1288e265340952863d4d0755e489add471fa9,0x88d7709ce401e4e7b5068156423ecb4f60a99f75,Allocate,3.17481e-06,42161,42161,25,0x8c8c259579e596b7BdB2BbC3E17D1b8d71E7a56d,3174805576832.0,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,0x88d7709ce401e4e7b5068156423ecb4f60a99f75,0x88d7709ce401e4e7b5068156423ecb4f60a99f75
0x0e94baf7e455e7b989fd84c7198b62f0c3692b00de71093e9ba8db37198fd179,0x8492ac0cc18b122234645731bcaca1834bcb35dc,Allocate,0.000316998,42161,42161,25,0x8c8c259579e596b7BdB2BbC3E17D1b8d71E7a56d,316998116757178.0,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,0x8492ac0cc18b122234645731bcaca1834bcb35dc,0x8492ac0cc18b122234645731bcaca1834bcb35dc
0xbe0a80cb7cd7e8bce5e684aaac1f5ae0729d27f5e3fbfd607e2fe1f0d7a286a0,0x5abca791c22e7f99237fcc04639e094ffa0ccce9,Allocate,0.000317215,42161,42161,25,0x2B3d6c3883c1Ec6C2b9aaa68028BCD467b8F726D,317214569156252.0,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,0x5abca791c22e7f99237fcc04639e094ffa0ccce9,0x5abca791c22e7f99237fcc04639e094ffa0ccce9
0x52fa7a7c4163a4840342f43e012058abbe598e4fa78aa1f341d594f11e6bae6a,0x5abca791c22e7f99237fcc04639e094ffa0ccce9,Allocate,0.000316469,42161,42161,23,0x2cC2c35EaD620614616d62667d366391880EEeB1,316468554999687.0,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,0x5abca791c22e7f99237fcc04639e094ffa0ccce9,0x5abca791c22e7f99237fcc04639e094ffa0ccce9
0x23d21e3bd87ea6f48a30b70e622e6153f2579e481cd7dd0143618aad00264ee7,0x5b1899d88b4ff0cf5a34651e7ce7164398211c66,Allocate,0.00063161,42161,42161,25,0x8c8c259579e596b7BdB2BbC3E17D1b8d71E7a56d,631609987082196.0,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,0x5b1899d88b4ff0cf5a34651e7ce7164398211c66,0x5b1899d88b4ff0cf5a34651e7ce7164398211c66
0x24b950e02eb90b6815aea26e055b4cdaca358965c5f96ef429f0cf3e72a83750,0x5b1899d88b4ff0cf5a34651e7ce7164398211c66,Allocate,0.000631617,42161,42161,25,0xfb354294C904142368293Ba987751C956453F44C,631617010643550.0,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,0x5b1899d88b4ff0cf5a34651e7ce7164398211c66,0x5b1899d88b4ff0cf5a34651e7ce7164398211c66
0x1158e0e73aff80fca304590659f7d50cbcfb1f783eb138b4a3f69cb3219e4779,0x1cc221d84a0c1621ad6b462a84d1bd69c5b94a58,Allocate,0.000315809,42161,42161,25,0x8c8c259579e596b7BdB2BbC3E17D1b8d71E7a56d,315808505321775.0,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,0x1cc221d84a0c1621ad6b462a84d1bd69c5b94a58,0x1cc221d84a0c1621ad6b462a84d1bd69c5b94a58
0x5215441dda3f0010aad9f3be3600e1bee06a181c3af7859aff81753e81ee4aa5,0x5beb35bddb47c99bf45f62b01ae0294be9d1cdd6,Allocate,0.000663107,42161,42161,25,0x8c8c259579e596b7BdB2BbC3E17D1b8d71E7a56d,663107370498027.0,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,0x5beb35bddb47c99bf45f62b01ae0294be9d1cdd6,0x5beb35bddb47c99bf45f62b01ae0294be9d1cdd6
0xe8daa5b16068a7c957401c607a65d193287c74efca25d3cc355f09d2dee9382d,0xab888291f4127352b655fd476f64ac2ebfb8fe76,Allocate,0.00031606099999999997,42161,42161,25,0x8c8c259579e596b7BdB2BbC3E17D1b8d71E7a56d,316061330907860.0,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,0xab888291f4127352b655fd476f64ac2ebfb8fe76,0xab888291f4127352b655fd476f64ac2ebfb8fe76
0xabee937641388a17a0051a9aa97b4d160e8622cb31c9737d90158a0d489a5fd6,0xd50b50aba70ddffc9361ef1313c4323fc3a43229,Allocate,0.00031440200000000003,42161,42161,25,0x8c8c259579e596b7BdB2BbC3E17D1b8d71E7a56d,314402049645768.0,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,0xd50b50aba70ddffc9361ef1313c4323fc3a43229,0xd50b50aba70ddffc9361ef1313c4323fc3a43229
