Txhash,From,To,Value,Fee,CurrentPrice,TxDateOpeningPrice,TxDateClosingPrice,Method
0x7fb7c58a2560b8af6981b7ddb538d1c8ab1651ec0fe0610c8243f7500a66a312,0x4a3755eB99ae8b22AaFB8f16F0C51CF68Eb60b85,0x8F5fc20f5a3e69B7DCc5AC477dCC4484C64897dA,3.40294E+14,5.4502E+12,2968.98,3063.19,3066.67,0x6fde4731
0xf262b9da27c46e77ebb41146159c935d245e555e97731d0835166c78c777564f,0x4a3755eB99ae8b22AaFB8f16F0C51CF68Eb60b85,0x8F5fc20f5a3e69B7DCc5AC477dCC4484C64897dA,3.40402E+14,5.4502E+12,2968.98,3063.19,3066.67,0x6fde4731
0x9474e445c01bd735f06a5e4134ccc01babec3beb258eb4f9dafcbaff07387afe,0x4a3755eB99ae8b22AaFB8f16F0C51CF68Eb60b85,0x8F5fc20f5a3e69B7DCc5AC477dCC4484C64897dA,3.40471E+14,5.4502E+12,2968.98,3063.19,3066.67,0x6fde4731
0x6818577c51a3f362be17bc459b4b131ee7d55c017f6ab0e498bf75b17aed9e20,0x4a3755eB99ae8b22AaFB8f16F0C51CF68Eb60b85,0x8F5fc20f5a3e69B7DCc5AC477dCC4484C64897dA,3.4058E+14,5.89985E+12,2968.98,3063.19,3066.67,0x6fde4731
0x877ed4d0e7669777f94ed0895bf5bf7b68d854506f1c3335721457ed57fee751,0x46f3cC6a1c00A5cD8864d2B92f128196CAE07D15,0x8F5fc20f5a3e69B7DCc5AC477dCC4484C64897dA,3.40714E+14,5.487E+12,2968.98,3063.19,3066.67,0x6fde4731
0x1d4bca3c0118f968a91c5c20b063e07a5d3449a3a83bb85528622bde796b7c39,0x4a3755eB99ae8b22AaFB8f16F0C51CF68Eb60b85,0x8F5fc20f5a3e69B7DCc5AC477dCC4484C64897dA,3.40732E+14,5.4502E+12,2968.98,3063.19,3066.67,0x6fde4731
0xd208a3b7527f2f33535179f02fa4821245336852d150dfce94ad87f8eed057d0,0x46f3cC6a1c00A5cD8864d2B92f128196CAE07D15,0x8F5fc20f5a3e69B7DCc5AC477dCC4484C64897dA,3.40813E+14,5.487E+12,2968.98,3063.19,3066.67,0x6fde4731
0x793778ce6d6f5b1b6749f163afc4c0a4e8233fd22a7647007ab9945d34e07056,0x46f3cC6a1c00A5cD8864d2B92f128196CAE07D15,0x8F5fc20f5a3e69B7DCc5AC477dCC4484C64897dA,3.40496E+14,5.48613E+12,2968.98,3063.19,3066.67,0x6fde4731
0x227ff695b0ab64d8eb47eab0cb090584c9c3969263ec0fac8b638360e3aa21bf,0x4a3755eB99ae8b22AaFB8f16F0C51CF68Eb60b85,0x8F5fc20f5a3e69B7DCc5AC477dCC4484C64897dA,3.40614E+14,5.4502E+12,2968.98,3063.19,3066.67,0x6fde4731
0x16e5f7d935b18f64c54c955407b75fa400dd26fd100a6036dfb5b6118e1af1fd,0x46f3cC6a1c00A5cD8864d2B92f128196CAE07D15,0x8F5fc20f5a3e69B7DCc5AC477dCC4484C64897dA,3.40503E+14,5.48613E+12,2968.98,3063.19,3066.67,0x6fde4731
